Gene0	-0.216	4.22e-02
Gene1	-0.259	7.66e-02
Gene2	-0.191	3.46e-05
Gene3	-2.246	3.68e-01
Gene4	-0.325	8.07e-02
Gene5	0.174	2.97e-03
Gene6	0.985	5.63e-04
Gene7	0.166	1.88e-03
Gene8	0.370	8.97e-05
Gene9	1.967	9.28e-01
Gene10	0.798	1.99e-02
Gene11	-2.180	1.67e-01
Gene12	1.310	3.44e-01
Gene13	-0.361	3.28e-01
Gene14	1.173	9.21e-05
Gene15	-1.670	2.25e-04
Gene16	-3.930	1.28e-02
Gene17	-0.910	1.74e-03
Gene18	0.996	4.91e-05
Gene19	-1.829	1.30e-03
Gene20	-0.129	7.25e-02
Gene21	-0.441	3.57e-02
Gene22	0.958	3.13e-01
Gene23	0.525	4.08e-02
Gene24	-0.940	1.41e-02
Gene25	-1.076	8.96e-02
Gene26	-0.375	5.75e-04
Gene27	3.504	9.00e-04
Gene28	1.153	1.52e-01
Gene29	2.133	1.27e-02
Gene30	2.140	1.64e-03
Gene31	-0.141	3.78e-04
Gene32	1.429	7.16e-02
Gene33	-2.166	6.91e-01
Gene34	-0.473	8.81e-02
Gene35	1.085	1.93e-05
Gene36	0.930	5.28e-04
Gene37	-0.914	1.05e-02
Gene38	1.428	4.74e-02
Gene39	-0.850	5.85e-02
Gene40	-1.085	1.19e-03
Gene41	-0.440	3.24e-05
Gene42	-0.852	1.03e-05
Gene43	0.624	2.83e-03
Gene44	0.392	2.83e-01
Gene45	0.252	7.29e-04
Gene46	0.411	4.81e-01
Gene47	-1.516	1.24e-02
Gene48	1.840	1.40e-05
Gene49	-0.045	4.97e-05
Gene50	2.390	3.90e-04
Gene51	0.173	2.07e-03
Gene52	-0.227	2.77e-01
Gene53	2.135	6.70e-03
Gene54	-3.564	4.18e-05
Gene55	1.066	4.82e-02
Gene56	-0.941	2.73e-05
Gene57	-0.003	4.44e-05
Gene58	-0.642	9.02e-04
Gene59	2.043	1.72e-01
Gene60	0.147	1.28e-04
Gene61	-1.862	2.23e-03
Gene62	1.328	7.99e-01
Gene63	0.005	2.26e-05
Gene64	2.049	2.90e-02
Gene65	-1.955	5.13e-01
Gene66	2.619	3.73e-01
Gene67	-2.521	3.72e-03
Gene68	2.300	1.48e-04
Gene69	1.069	2.28e-01
Gene70	-1.872	4.73e-02
Gene71	0.293	4.34e-05
Gene72	-0.917	2.01e-03
Gene73	0.481	2.24e-04
Gene74	0.392	1.06e-05
Gene75	1.236	5.63e-04
Gene76	-1.676	2.48e-01
Gene77	0.687	7.53e-02
Gene78	-1.050	7.07e-02
Gene79	1.700	7.92e-02
Gene80	1.911	7.17e-02
Gene81	0.914	2.97e-05
Gene82	0.366	6.46e-02
Gene83	-0.444	4.52e-04
Gene84	0.178	2.10e-05
Gene85	0.779	1.40e-03
Gene86	-2.590	9.17e-05
Gene87	0.449	1.12e-01
Gene88	1.307	7.62e-03
Gene89	0.911	4.62e-03
Gene90	-0.294	1.20e-05
Gene91	-2.225	3.22e-01
Gene92	-1.118	4.92e-05
Gene93	0.784	5.71e-02
Gene94	0.601	7.77e-03
Gene95	1.523	4.05e-02
Gene96	0.004	6.09e-03
Gene97	3.399	4.93e-05
Gene98	-0.459	1.01e-05
Gene99	-0.150	6.60e-05
Gene100	3.361	5.71e-05
Gene101	-0.663	1.47e-01
Gene102	-1.036	9.88e-03
Gene103	0.094	5.09e-01
Gene104	-3.158	4.72e-02
Gene105	3.004	1.20e-04
Gene106	-1.511	1.63e-05
Gene107	0.439	1.05e-05
Gene108	-2.243	1.68e-01
Gene109	-0.820	3.28e-02
Gene110	1.936	1.95e-03
Gene111	-0.386	1.82e-04
Gene112	1.860	3.06e-03
Gene113	0.698	5.45e-05
Gene114	2.097	3.98e-01
Gene115	3.190	1.18e-01
Gene116	-1.860	6.67e-02
Gene117	-1.265	2.52e-01
Gene118	0.870	1.07e-03
Gene119	-0.717	8.00e-04
Gene120	-1.735	2.43e-03
Gene121	0.965	2.12e-05
Gene122	0.675	6.41e-02
Gene123	2.283	1.05e-02
Gene124	-0.599	2.62e-02
Gene125	-1.117	1.74e-04
Gene126	1.491	1.02e-05
Gene127	0.731	1.05e-05
Gene128	0.931	4.72e-02
Gene129	0.461	2.16e-05
Gene130	2.260	1.42e-02
Gene131	-2.099	1.63e-01
Gene132	1.175	8.74e-04
Gene133	-2.023	1.16e-05
Gene134	-0.107	8.21e-05
Gene135	-0.155	3.18e-02
Gene136	-1.836	2.13e-01
Gene137	-3.035	2.65e-01
Gene138	1.489	4.35e-02
Gene139	1.186	9.46e-04
Gene140	-0.205	6.74e-04
Gene141	-0.991	4.79e-02
Gene142	-3.249	5.88e-05
Gene143	0.234	3.46e-01
Gene144	-1.071	9.60e-01
Gene145	0.558	1.39e-04
Gene146	-0.761	1.97e-04
Gene147	-0.887	1.74e-03
Gene148	-0.188	4.21e-01
Gene149	0.092	3.84e-05
Gene150	1.551	6.71e-05
Gene151	-1.069	1.22e-03
Gene152	0.468	2.88e-02
Gene153	0.628	3.20e-05
Gene154	0.851	3.20e-05
Gene155	-2.854	8.90e-02
Gene156	0.002	1.26e-04
Gene157	0.699	3.80e-05
Gene158	-1.737	1.69e-01
Gene159	1.159	2.24e-05
Gene160	2.705	8.83e-05
Gene161	-3.083	3.92e-05
Gene162	2.420	2.18e-02
Gene163	0.380	2.22e-05
Gene164	0.966	8.84e-05
Gene165	-2.837	4.63e-02
Gene166	0.167	4.36e-05
Gene167	-0.698	5.09e-05
Gene168	0.476	4.99e-03
Gene169	2.721	2.98e-02
Gene170	0.303	7.62e-01
Gene171	-1.035	1.08e-01
Gene172	-1.416	1.46e-05
Gene173	2.643	4.02e-02
Gene174	-0.955	1.24e-05
Gene175	-1.177	2.08e-03
Gene176	0.689	1.41e-05
Gene177	-0.277	1.28e-01
Gene178	1.146	2.87e-01
Gene179	-0.275	6.72e-03
Gene180	-0.175	9.31e-04
Gene181	-1.290	2.77e-03
Gene182	-1.477	5.33e-02
Gene183	1.299	2.86e-04
Gene184	3.419	2.03e-03
Gene185	0.036	2.53e-04
Gene186	-0.113	1.51e-02
Gene187	-2.233	4.47e-01
Gene188	-0.689	2.69e-02
Gene189	-1.153	5.75e-05
Gene190	-0.239	2.84e-02
Gene191	-1.245	9.08e-03
Gene192	-1.027	2.31e-01
Gene193	0.723	7.90e-03
Gene194	2.100	3.06e-05
Gene195	-0.826	8.36e-04
Gene196	-0.595	9.95e-01
Gene197	1.794	3.68e-02
Gene198	-1.787	5.33e-04
Gene199	0.842	4.73e-03
