G01	G02	2.091
G01	G03	2.762
G01	G04	3.876
G01	G05	5.152
G01	G06	5.623
G01	G07	7.317
G01	G08	8.096
G01	G09	9.652
G01	G10	10.17
G02	G03	1.28
G02	G04	2.309
G02	G05	3.663
G02	G06	4.878
G02	G07	5.893
G02	G08	6.816
G02	G09	8.589
G02	G10	8.933
G03	G04	1.212
G03	G05	2.538
G03	G06	4.23
G03	G07	4.904
G03	G08	6.002
G03	G09	7.459
G03	G10	8.161
G04	G05	1.949
G04	G06	2.825
G04	G07	3.529
G04	G08	5.05
G04	G09	5.926
G04	G10	6.842
G05	G06	1.948
G05	G07	2.757
G05	G08	3.928
G05	G09	4.551
G05	G10	5.879
G06	G07	1.867
G06	G08	2.203
G06	G09	3.304
G06	G10	5.209
G07	G08	1.91
G07	G09	2.902
G07	G10	4.136
G08	G09	1.579
G08	G10	2.498
G09	G10	1.472
