G01	GO:0006915,GO:0016301,GO:0005634
G02	GO:0006915,GO:0016301,GO:0005634
G03	GO:0006915,GO:0016301,GO:0005634
G04	GO:0006915,GO:0016301,GO:0005634
G05	GO:0006915,GO:0016301,GO:0005634
G06	GO:0006915,GO:0016301,GO:0005634
G07	GO:0006915,GO:0016301,GO:0005634
G08	GO:0006915,GO:0016301,GO:0005634
G09	GO:0006915,GO:0016301,GO:0005634
G10	GO:0006915,GO:0016301,GO:0005634
G11	GO:0007049,GO:0005634
G12	GO:0007049,GO:0005634
G13	GO:0007049,GO:0005634
G14	GO:0007049,GO:0005634
G15	GO:0007049,GO:0005634
G16	GO:0007049,GO:0005634
G17	GO:0007049,GO:0005634
G18	GO:0007049,GO:0005634
G19	GO:0007049,GO:0005634
G20	GO:0007049,GO:0005634
